,ScenarioID,CountryID,TechID,JSTypeVSMID,TechDescription,TransTypeID,VehTypeID,MassCatID,VKM
50,1,9,150.0,3,Road-Medium (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,2.0,0.009703251642857146
51,1,9,9150.0,1,Road-Medium (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,2.0,0.1099701852857143
52,1,9,9150.0,2,Road-Medium (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,2.0,0.05498509264285715
53,1,9,9150.0,3,Road-Medium (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,2.0,0.05498509264285715
54,1,9,160.0,1,Road-Medium (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,2.0,0.01940650328571429
55,1,9,160.0,2,Road-Medium (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,2.0,0.009703251642857146
56,1,9,160.0,3,Road-Medium (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,2.0,0.009703251642857146
57,1,9,9160.0,1,Road-Medium (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,2.0,0.1099701852857143
58,1,9,9160.0,2,Road-Medium (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,2.0,0.05498509264285715
59,1,9,9160.0,3,Road-Medium (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,2.0,0.05498509264285715
60,1,9,170.0,1,Road-Medium (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,2.0,0.01940650328571429
61,1,9,170.0,2,Road-Medium (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,2.0,0.009703251642857146
62,1,9,170.0,3,Road-Medium (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,2.0,0.009703251642857146
63,1,9,9170.0,1,Road-Medium (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,2.0,0.1099701852857143
64,1,9,9170.0,2,Road-Medium (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,2.0,0.05498509264285715
65,1,9,9170.0,3,Road-Medium (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,2.0,0.05498509264285715
66,1,9,181.0,1,Road-Medium (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,2.0,0.01940650328571429
67,1,9,181.0,2,Road-Medium (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,2.0,0.009703251642857146
68,1,9,181.0,3,Road-Medium (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,2.0,0.009703251642857146
69,1,9,9181.0,1,Road-Medium (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,2.0,0.1099701852857143
70,1,9,9181.0,2,Road-Medium (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,2.0,0.05498509264285715
71,1,9,9181.0,3,Road-Medium (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,2.0,0.05498509264285715
72,1,9,140.0,1,Road-Medium (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,2.0,0.01940650328571429
73,1,9,140.0,2,Road-Medium (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,2.0,0.009703251642857146
74,1,9,140.0,3,Road-Medium (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,2.0,0.009703251642857146
75,1,9,9140.0,1,Road-Medium (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,2.0,0.1099701852857143
76,1,9,9140.0,2,Road-Medium (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,2.0,0.05498509264285715
77,1,9,9140.0,3,Road-Medium (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,2.0,0.05498509264285715
78,1,9,171.0,1,Road-Medium (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,2.0,0.01940650328571429
79,1,9,171.0,2,Road-Medium (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,2.0,0.009703251642857146
80,1,9,171.0,3,Road-Medium (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,2.0,0.009703251642857146
81,1,9,9171.0,1,Road-Medium (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,2.0,0.1099701852857143
82,1,9,9171.0,2,Road-Medium (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,2.0,0.05498509264285715
