,Vehicle category,Segment,CountryID,TechID,Age,TransTypeID,VehTypeID,MassCatID,EngineID,FuelID,NumVeh
83,Passenger cars,"PC petrol <1,4L",9,90.0,17,1.0,3.0,1.0,3.0,1.0,508.18114285714285
84,Passenger cars,"PC petrol <1,4L",9,90.0,18,1.0,3.0,1.0,3.0,1.0,254.09057142857142
85,Passenger cars,"PC petrol <1,4L",9,90.0,19,1.0,3.0,1.0,3.0,1.0,254.09057142857142
86,Passenger cars,"PC petrol <1,4L",9,90.0,20,1.0,3.0,1.0,3.0,1.0,169.39371428571428
87,Passenger cars,"PC petrol <1,4L",9,90.0,21,1.0,3.0,1.0,3.0,1.0,169.39371428571428
88,Passenger cars,"PC petrol <1,4L",9,90.0,22,1.0,3.0,1.0,3.0,1.0,84.69685714285714
89,Passenger cars,"PC petrol <1,4L",9,90.0,23,1.0,3.0,1.0,3.0,1.0,84.69685714285714
90,Passenger cars,"PC petrol <1,4L",9,90.0,24,1.0,3.0,1.0,3.0,1.0,84.69685714285714
91,Passenger cars,"PC petrol <1,4L",9,90.0,25,1.0,3.0,1.0,3.0,1.0,84.69685714285714
104,Passenger cars,"PC petrol <1,4L",9,9090.0,5,1.0,3.0,1.0,3.0,1.0,479.9488571428571
105,Passenger cars,"PC petrol <1,4L",9,9090.0,6,1.0,3.0,1.0,3.0,1.0,959.8977142857142
106,Passenger cars,"PC petrol <1,4L",9,9090.0,7,1.0,3.0,1.0,3.0,1.0,3359.6419999999994
107,Passenger cars,"PC petrol <1,4L",9,9090.0,8,1.0,3.0,1.0,3.0,1.0,3839.5908571428567
108,Passenger cars,"PC petrol <1,4L",9,9090.0,9,1.0,3.0,1.0,3.0,1.0,5279.437428571428
109,Passenger cars,"PC petrol <1,4L",9,9090.0,10,1.0,3.0,1.0,3.0,1.0,4799.488571428571
110,Passenger cars,"PC petrol <1,4L",9,9090.0,11,1.0,3.0,1.0,3.0,1.0,4319.539714285714
111,Passenger cars,"PC petrol <1,4L",9,9090.0,12,1.0,3.0,1.0,3.0,1.0,3839.5908571428567
112,Passenger cars,"PC petrol <1,4L",9,9090.0,13,1.0,3.0,1.0,3.0,1.0,3359.6419999999994
113,Passenger cars,"PC petrol <1,4L",9,9090.0,14,1.0,3.0,1.0,3.0,1.0,3359.6419999999994
114,Passenger cars,"PC petrol <1,4L",9,9090.0,15,1.0,3.0,1.0,3.0,1.0,2399.7442857142855
115,Passenger cars,"PC petrol <1,4L",9,9090.0,16,1.0,3.0,1.0,3.0,1.0,2399.7442857142855
116,Passenger cars,"PC petrol <1,4L",9,9090.0,17,1.0,3.0,1.0,3.0,1.0,2879.6931428571424
117,Passenger cars,"PC petrol <1,4L",9,9090.0,18,1.0,3.0,1.0,3.0,1.0,1439.8465714285712
118,Passenger cars,"PC petrol <1,4L",9,9090.0,19,1.0,3.0,1.0,3.0,1.0,1439.8465714285712
119,Passenger cars,"PC petrol <1,4L",9,9090.0,20,1.0,3.0,1.0,3.0,1.0,959.8977142857142
120,Passenger cars,"PC petrol <1,4L",9,9090.0,21,1.0,3.0,1.0,3.0,1.0,959.8977142857142
121,Passenger cars,"PC petrol <1,4L",9,9090.0,22,1.0,3.0,1.0,3.0,1.0,479.9488571428571
122,Passenger cars,"PC petrol <1,4L",9,9090.0,23,1.0,3.0,1.0,3.0,1.0,479.9488571428571
123,Passenger cars,"PC petrol <1,4L",9,9090.0,24,1.0,3.0,1.0,3.0,1.0,479.9488571428571
124,Passenger cars,"PC petrol <1,4L",9,9090.0,25,1.0,3.0,1.0,3.0,1.0,479.9488571428571
137,Passenger cars,"PC petrol <1,4L",9,100.0,5,1.0,3.0,1.0,4.0,1.0,84.69685714285714
138,Passenger cars,"PC petrol <1,4L",9,100.0,6,1.0,3.0,1.0,4.0,1.0,169.39371428571428
139,Passenger cars,"PC petrol <1,4L",9,100.0,7,1.0,3.0,1.0,4.0,1.0,592.8779999999999
140,Passenger cars,"PC petrol <1,4L",9,100.0,8,1.0,3.0,1.0,4.0,1.0,677.5748571428571
141,Passenger cars,"PC petrol <1,4L",9,100.0,9,1.0,3.0,1.0,4.0,1.0,931.6654285714285
142,Passenger cars,"PC petrol <1,4L",9,100.0,10,1.0,3.0,1.0,4.0,1.0,846.9685714285713
143,Passenger cars,"PC petrol <1,4L",9,100.0,11,1.0,3.0,1.0,4.0,1.0,762.2717142857142
144,Passenger cars,"PC petrol <1,4L",9,100.0,12,1.0,3.0,1.0,4.0,1.0,677.5748571428571
145,Passenger cars,"PC petrol <1,4L",9,100.0,13,1.0,3.0,1.0,4.0,1.0,592.8779999999999
146,Passenger cars,"PC petrol <1,4L",9,100.0,14,1.0,3.0,1.0,4.0,1.0,592.8779999999999
147,Passenger cars,"PC petrol <1,4L",9,100.0,15,1.0,3.0,1.0,4.0,1.0,423.48428571428565
148,Passenger cars,"PC petrol <1,4L",9,100.0,16,1.0,3.0,1.0,4.0,1.0,423.48428571428565
149,Passenger cars,"PC petrol <1,4L",9,100.0,17,1.0,3.0,1.0,4.0,1.0,508.18114285714285
150,Passenger cars,"PC petrol <1,4L",9,100.0,18,1.0,3.0,1.0,4.0,1.0,254.09057142857142
151,Passenger cars,"PC petrol <1,4L",9,100.0,19,1.0,3.0,1.0,4.0,1.0,254.09057142857142
152,Passenger cars,"PC petrol <1,4L",9,100.0,20,1.0,3.0,1.0,4.0,1.0,169.39371428571428
153,Passenger cars,"PC petrol <1,4L",9,100.0,21,1.0,3.0,1.0,4.0,1.0,169.39371428571428
154,Passenger cars,"PC petrol <1,4L",9,100.0,22,1.0,3.0,1.0,4.0,1.0,84.69685714285714
155,Passenger cars,"PC petrol <1,4L",9,100.0,23,1.0,3.0,1.0,4.0,1.0,84.69685714285714
156,Passenger cars,"PC petrol <1,4L",9,100.0,24,1.0,3.0,1.0,4.0,1.0,84.69685714285714
157,Passenger cars,"PC petrol <1,4L",9,100.0,25,1.0,3.0,1.0,4.0,1.0,84.69685714285714
170,Passenger cars,"PC petrol <1,4L",9,9100.0,5,1.0,3.0,1.0,4.0,1.0,479.9488571428571
171,Passenger cars,"PC petrol <1,4L",9,9100.0,6,1.0,3.0,1.0,4.0,1.0,959.8977142857142
172,Passenger cars,"PC petrol <1,4L",9,9100.0,7,1.0,3.0,1.0,4.0,1.0,3359.6419999999994
173,Passenger cars,"PC petrol <1,4L",9,9100.0,8,1.0,3.0,1.0,4.0,1.0,3839.5908571428567
174,Passenger cars,"PC petrol <1,4L",9,9100.0,9,1.0,3.0,1.0,4.0,1.0,5279.437428571428
175,Passenger cars,"PC petrol <1,4L",9,9100.0,10,1.0,3.0,1.0,4.0,1.0,4799.488571428571
176,Passenger cars,"PC petrol <1,4L",9,9100.0,11,1.0,3.0,1.0,4.0,1.0,4319.539714285714
177,Passenger cars,"PC petrol <1,4L",9,9100.0,12,1.0,3.0,1.0,4.0,1.0,3839.5908571428567
178,Passenger cars,"PC petrol <1,4L",9,9100.0,13,1.0,3.0,1.0,4.0,1.0,3359.6419999999994
179,Passenger cars,"PC petrol <1,4L",9,9100.0,14,1.0,3.0,1.0,4.0,1.0,3359.6419999999994
180,Passenger cars,"PC petrol <1,4L",9,9100.0,15,1.0,3.0,1.0,4.0,1.0,2399.7442857142855
181,Passenger cars,"PC petrol <1,4L",9,9100.0,16,1.0,3.0,1.0,4.0,1.0,2399.7442857142855
182,Passenger cars,"PC petrol <1,4L",9,9100.0,17,1.0,3.0,1.0,4.0,1.0,2879.6931428571424
183,Passenger cars,"PC petrol <1,4L",9,9100.0,18,1.0,3.0,1.0,4.0,1.0,1439.8465714285712
184,Passenger cars,"PC petrol <1,4L",9,9100.0,19,1.0,3.0,1.0,4.0,1.0,1439.8465714285712
185,Passenger cars,"PC petrol <1,4L",9,9100.0,20,1.0,3.0,1.0,4.0,1.0,959.8977142857142
186,Passenger cars,"PC petrol <1,4L",9,9100.0,21,1.0,3.0,1.0,4.0,1.0,959.8977142857142
187,Passenger cars,"PC petrol <1,4L",9,9100.0,22,1.0,3.0,1.0,4.0,1.0,479.9488571428571
188,Passenger cars,"PC petrol <1,4L",9,9100.0,23,1.0,3.0,1.0,4.0,1.0,479.9488571428571
189,Passenger cars,"PC petrol <1,4L",9,9100.0,24,1.0,3.0,1.0,4.0,1.0,479.9488571428571
190,Passenger cars,"PC petrol <1,4L",9,9100.0,25,1.0,3.0,1.0,4.0,1.0,479.9488571428571
203,Passenger cars,"PC petrol <1,4L",9,110.0,5,1.0,3.0,1.0,5.0,1.0,84.69685714285714
204,Passenger cars,"PC petrol <1,4L",9,110.0,6,1.0,3.0,1.0,5.0,1.0,169.39371428571428
205,Passenger cars,"PC petrol <1,4L",9,110.0,7,1.0,3.0,1.0,5.0,1.0,592.8779999999999
206,Passenger cars,"PC petrol <1,4L",9,110.0,8,1.0,3.0,1.0,5.0,1.0,677.5748571428571
207,Passenger cars,"PC petrol <1,4L",9,110.0,9,1.0,3.0,1.0,5.0,1.0,931.6654285714285
208,Passenger cars,"PC petrol <1,4L",9,110.0,10,1.0,3.0,1.0,5.0,1.0,846.9685714285713
209,Passenger cars,"PC petrol <1,4L",9,110.0,11,1.0,3.0,1.0,5.0,1.0,762.2717142857142
210,Passenger cars,"PC petrol <1,4L",9,110.0,12,1.0,3.0,1.0,5.0,1.0,677.5748571428571
211,Passenger cars,"PC petrol <1,4L",9,110.0,13,1.0,3.0,1.0,5.0,1.0,592.8779999999999
212,Passenger cars,"PC petrol <1,4L",9,110.0,14,1.0,3.0,1.0,5.0,1.0,592.8779999999999
213,Passenger cars,"PC petrol <1,4L",9,110.0,15,1.0,3.0,1.0,5.0,1.0,423.48428571428565
214,Passenger cars,"PC petrol <1,4L",9,110.0,16,1.0,3.0,1.0,5.0,1.0,423.48428571428565
215,Passenger cars,"PC petrol <1,4L",9,110.0,17,1.0,3.0,1.0,5.0,1.0,508.18114285714285
216,Passenger cars,"PC petrol <1,4L",9,110.0,18,1.0,3.0,1.0,5.0,1.0,254.09057142857142
217,Passenger cars,"PC petrol <1,4L",9,110.0,19,1.0,3.0,1.0,5.0,1.0,254.09057142857142
218,Passenger cars,"PC petrol <1,4L",9,110.0,20,1.0,3.0,1.0,5.0,1.0,169.39371428571428
219,Passenger cars,"PC petrol <1,4L",9,110.0,21,1.0,3.0,1.0,5.0,1.0,169.39371428571428
220,Passenger cars,"PC petrol <1,4L",9,110.0,22,1.0,3.0,1.0,5.0,1.0,84.69685714285714
221,Passenger cars,"PC petrol <1,4L",9,110.0,23,1.0,3.0,1.0,5.0,1.0,84.69685714285714
222,Passenger cars,"PC petrol <1,4L",9,110.0,24,1.0,3.0,1.0,5.0,1.0,84.69685714285714
223,Passenger cars,"PC petrol <1,4L",9,110.0,25,1.0,3.0,1.0,5.0,1.0,84.69685714285714
236,Passenger cars,"PC petrol <1,4L",9,9110.0,5,1.0,3.0,1.0,5.0,1.0,479.9488571428571
237,Passenger cars,"PC petrol <1,4L",9,9110.0,6,1.0,3.0,1.0,5.0,1.0,959.8977142857142
238,Passenger cars,"PC petrol <1,4L",9,9110.0,7,1.0,3.0,1.0,5.0,1.0,3359.6419999999994
239,Passenger cars,"PC petrol <1,4L",9,9110.0,8,1.0,3.0,1.0,5.0,1.0,3839.5908571428567
240,Passenger cars,"PC petrol <1,4L",9,9110.0,9,1.0,3.0,1.0,5.0,1.0,5279.437428571428
241,Passenger cars,"PC petrol <1,4L",9,9110.0,10,1.0,3.0,1.0,5.0,1.0,4799.488571428571
242,Passenger cars,"PC petrol <1,4L",9,9110.0,11,1.0,3.0,1.0,5.0,1.0,4319.539714285714
243,Passenger cars,"PC petrol <1,4L",9,9110.0,12,1.0,3.0,1.0,5.0,1.0,3839.5908571428567
244,Passenger cars,"PC petrol <1,4L",9,9110.0,13,1.0,3.0,1.0,5.0,1.0,3359.6419999999994
245,Passenger cars,"PC petrol <1,4L",9,9110.0,14,1.0,3.0,1.0,5.0,1.0,3359.6419999999994
246,Passenger cars,"PC petrol <1,4L",9,9110.0,15,1.0,3.0,1.0,5.0,1.0,2399.7442857142855
247,Passenger cars,"PC petrol <1,4L",9,9110.0,16,1.0,3.0,1.0,5.0,1.0,2399.7442857142855
248,Passenger cars,"PC petrol <1,4L",9,9110.0,17,1.0,3.0,1.0,5.0,1.0,2879.6931428571424
249,Passenger cars,"PC petrol <1,4L",9,9110.0,18,1.0,3.0,1.0,5.0,1.0,1439.8465714285712
250,Passenger cars,"PC petrol <1,4L",9,9110.0,19,1.0,3.0,1.0,5.0,1.0,1439.8465714285712
251,Passenger cars,"PC petrol <1,4L",9,9110.0,20,1.0,3.0,1.0,5.0,1.0,959.8977142857142
252,Passenger cars,"PC petrol <1,4L",9,9110.0,21,1.0,3.0,1.0,5.0,1.0,959.8977142857142
