ScenarioID,CountryID,PolicyID,Year,triplenID,modeID,td
1,9,0,2012,1,1,140.554895401001
1,9,0,2012,1,2,1.527704143524168
1,9,0,2012,1,3,0.6211542129516601
1,9,0,2012,1,4,0.3729252099990845
1,9,0,2012,1,5,0.057659056037664455
1,9,0,2012,1,6,1.89215624332428
1,9,0,2012,1,7,0.0
1,9,0,2012,1,8,0.0
1,9,0,2012,1,9,0.027228575944900503
1,9,0,2012,1,10,0.1008924007415772
1,9,0,2012,1,11,0.0014350407756865001
1,9,0,2012,1,12,0.0003482482861727475
1,9,0,2012,2,1,135.82117080688474
1,9,0,2012,2,2,7.43428115844726
1,9,0,2012,2,3,3.83992118835449
1,9,0,2012,2,4,2.201474952697755
1,9,0,2012,2,5,0.53319901227951
1,9,0,2012,2,6,23.945816040039
1,9,0,2012,2,7,0.0
1,9,0,2012,2,8,0.004481494054198266
1,9,0,2012,2,9,0.14139795303344702
1,9,0,2012,2,10,1.80270924568176
1,9,0,2012,2,11,0.0296927958726883
1,9,0,2012,2,12,0.013851071894168851
1,9,0,2012,3,1,73.499960899353
1,9,0,2012,3,2,19.01624450683596
1,9,0,2012,3,3,19.36373291015625
1,9,0,2012,3,4,10.507133483886701
1,9,0,2012,3,5,4.739491224288945
1,9,0,2012,3,6,159.3208312988282
1,9,0,2012,3,7,0.04340006709098816
1,9,0,2012,3,8,0.22083885669708253
1,9,0,2012,3,9,0.494720315933228
1,9,0,2012,3,10,6.69477939605712
1,9,0,2012,3,11,0.292827558517456
1,9,0,2012,3,12,0.31290321350097655
1,9,0,2012,4,1,21.67508125305175
1,9,0,2012,4,2,16.78641700744632
1,9,0,2012,4,3,28.815994262695302
1,9,0,2012,4,4,14.571405029296901
1,9,0,2012,4,5,8.312320232391361
1,9,0,2012,4,6,185.9194946289062
1,9,0,2012,4,7,0.1417823076248168
1,9,0,2012,4,8,1.387175941467285
1,9,0,2012,4,9,0.9455272674560551
1,9,0,2012,4,10,6.5694580078125
1,9,0,2012,4,11,0.509513568878174
1,9,0,2012,4,12,1.141247844696045
1,9,0,2012,5,1,19.807337522506725
1,9,0,2012,5,2,14.20534515380856
1,9,0,2012,5,3,45.544082641601555
1,9,0,2012,5,4,21.3038299560547
1,9,0,2012,5,5,19.403823852539098
1,9,0,2012,5,6,153.7675323486328
1,9,0,2012,5,7,1.850629806518552
1,9,0,2012,5,8,5.296676635742201
1,9,0,2012,5,9,2.06265773773193
1,9,0,2012,5,10,5.1256954193115245
1,9,0,2012,5,11,0.5108948707580571
1,9,0,2012,5,12,1.63784236907959
1,9,0,2012,6,1,5.97467601299285
1,9,0,2012,6,2,3.9695297241210956
1,9,0,2012,6,3,26.88943786621095
1,9,0,2012,6,4,13.282398986816402
1,9,0,2012,6,5,16.4010987281799
1,9,0,2012,6,6,43.3821411132812
1,9,0,2012,6,7,4.138185119628904
1,9,0,2012,6,8,6.96141204833985
1,9,0,2012,6,9,1.10764188766479
1,9,0,2012,6,10,4.961115074157713
1,9,0,2012,6,11,0.11610703468322801
1,9,0,2012,6,12,0.3704158782958985
1,9,0,2012,7,1,2.2828875482082376
1,9,0,2012,7,2,0.3852654933929448
1,9,0,2012,7,3,19.352490234375
1,9,0,2012,7,4,12.2695869445801
1,9,0,2012,7,5,5.196992754936225
1,9,0,2012,7,6,9.31144714355468
1,9,0,2012,7,7,8.88166427612304
1,9,0,2012,7,8,6.59171600341795
1,9,0,2012,7,9,2.39911251068115
1,9,0,2012,7,10,1.553561210632326
1,9,0,2012,7,11,0.0408972531557083
1,9,0,2012,7,12,0.1448305010795595
1,9,0,2012,8,1,1.4818933606147775
1,9,0,2012,8,2,0.1878018558025356
1,9,0,2012,8,3,20.4084930419922
1,9,0,2012,8,4,16.64751586914065
1,9,0,2012,8,5,3.2070429325103698
1,9,0,2012,8,6,5.38004541397094
1,9,0,2012,8,7,37.312084960937526
1,9,0,2012,8,8,11.07862396240235
1,9,0,2012,8,9,2.3274927139282204
1,9,0,2012,8,10,2.2571273803710956
1,9,0,2012,8,11,1.4086174011230501
1,9,0,2012,8,12,0.1414055943489075
1,9,0,2013,1,1,140.554895401001
1,9,0,2013,1,2,1.527704143524168
1,9,0,2013,1,3,0.6211542129516601
1,9,0,2013,1,4,0.3729252099990845
1,9,0,2013,1,5,0.057659056037664455
1,9,0,2013,1,6,1.89215624332428
1,9,0,2013,1,7,0.0
1,9,0,2013,1,8,0.0
1,9,0,2013,1,9,0.027228575944900503
1,9,0,2013,1,10,0.1008924007415772
1,9,0,2013,1,11,0.0014350407756865001
1,9,0,2013,1,12,0.0003482482861727475
1,9,0,2013,2,1,135.82117080688474
1,9,0,2013,2,2,7.43428115844726
1,9,0,2013,2,3,3.83992118835449
1,9,0,2013,2,4,2.201474952697755
1,9,0,2013,2,5,0.53319901227951
1,9,0,2013,2,6,23.945816040039
1,9,0,2013,2,7,0.0
1,9,0,2013,2,8,0.004481494054198266
1,9,0,2013,2,9,0.14139795303344702
1,9,0,2013,2,10,1.80270924568176
1,9,0,2013,2,11,0.0296927958726883
1,9,0,2013,2,12,0.013851071894168851
1,9,0,2013,3,1,73.499960899353
1,9,0,2013,3,2,19.01624450683596
1,9,0,2013,3,3,19.36373291015625
1,9,0,2013,3,4,10.507133483886701
1,9,0,2013,3,5,4.739491224288945
1,9,0,2013,3,6,159.3208312988282
1,9,0,2013,3,7,0.04340006709098816
1,9,0,2013,3,8,0.22083885669708253
1,9,0,2013,3,9,0.494720315933228
1,9,0,2013,3,10,6.69477939605712
1,9,0,2013,3,11,0.292827558517456
1,9,0,2013,3,12,0.31290321350097655
1,9,0,2013,4,1,21.67508125305175
1,9,0,2013,4,2,16.78641700744632
1,9,0,2013,4,3,28.815994262695302
1,9,0,2013,4,4,14.571405029296901
1,9,0,2013,4,5,8.312320232391361
1,9,0,2013,4,6,185.9194946289062
1,9,0,2013,4,7,0.1417823076248168
1,9,0,2013,4,8,1.387175941467285
1,9,0,2013,4,9,0.9455272674560551
1,9,0,2013,4,10,6.5694580078125
1,9,0,2013,4,11,0.509513568878174
1,9,0,2013,4,12,1.141247844696045
1,9,0,2013,5,1,19.807337522506725
1,9,0,2013,5,2,14.20534515380856
1,9,0,2013,5,3,45.544082641601555
1,9,0,2013,5,4,21.3038299560547
1,9,0,2013,5,5,19.403823852539098
1,9,0,2013,5,6,153.7675323486328
1,9,0,2013,5,7,1.850629806518552
1,9,0,2013,5,8,5.296676635742201
1,9,0,2013,5,9,2.06265773773193
1,9,0,2013,5,10,5.1256954193115245
1,9,0,2013,5,11,0.5108948707580571
1,9,0,2013,5,12,1.63784236907959
1,9,0,2013,6,1,5.97467601299285
1,9,0,2013,6,2,3.9695297241210956
1,9,0,2013,6,3,26.88943786621095
1,9,0,2013,6,4,13.282398986816402
1,9,0,2013,6,5,16.4010987281799
1,9,0,2013,6,6,43.3821411132812
1,9,0,2013,6,7,4.138185119628904
1,9,0,2013,6,8,6.96141204833985
1,9,0,2013,6,9,1.10764188766479
1,9,0,2013,6,10,4.961115074157713
1,9,0,2013,6,11,0.11610703468322801
1,9,0,2013,6,12,0.3704158782958985
1,9,0,2013,7,1,2.2828875482082376
1,9,0,2013,7,2,0.3852654933929448
1,9,0,2013,7,3,19.352490234375
1,9,0,2013,7,4,12.2695869445801
1,9,0,2013,7,5,5.196992754936225
1,9,0,2013,7,6,9.31144714355468
1,9,0,2013,7,7,8.88166427612304
1,9,0,2013,7,8,6.59171600341795
1,9,0,2013,7,9,2.39911251068115
1,9,0,2013,7,10,1.553561210632326
1,9,0,2013,7,11,0.0408972531557083
1,9,0,2013,7,12,0.1448305010795595
1,9,0,2013,8,1,1.4818933606147775
1,9,0,2013,8,2,0.1878018558025356
1,9,0,2013,8,3,20.4084930419922
1,9,0,2013,8,4,16.64751586914065
1,9,0,2013,8,5,3.2070429325103698
1,9,0,2013,8,6,5.38004541397094
1,9,0,2013,8,7,37.312084960937526
1,9,0,2013,8,8,11.07862396240235
1,9,0,2013,8,9,2.3274927139282204
1,9,0,2013,8,10,2.2571273803710956
1,9,0,2013,8,11,1.4086174011230501
1,9,0,2013,8,12,0.1414055943489075
1,9,0,2014,1,1,140.554895401001
1,9,0,2014,1,2,1.527704143524168
1,9,0,2014,1,3,0.6211542129516601
1,9,0,2014,1,4,0.3729252099990845
1,9,0,2014,1,5,0.057659056037664455
1,9,0,2014,1,6,1.89215624332428
1,9,0,2014,1,7,0.0
1,9,0,2014,1,8,0.0
1,9,0,2014,1,9,0.027228575944900503
1,9,0,2014,1,10,0.1008924007415772
1,9,0,2014,1,11,0.0014350407756865001
1,9,0,2014,1,12,0.0003482482861727475
1,9,0,2014,2,1,135.82117080688474
1,9,0,2014,2,2,7.43428115844726
1,9,0,2014,2,3,3.83992118835449
1,9,0,2014,2,4,2.201474952697755
1,9,0,2014,2,5,0.53319901227951
1,9,0,2014,2,6,23.945816040039
1,9,0,2014,2,7,0.0
1,9,0,2014,2,8,0.004481494054198266
1,9,0,2014,2,9,0.14139795303344702
1,9,0,2014,2,10,1.80270924568176
1,9,0,2014,2,11,0.0296927958726883
1,9,0,2014,2,12,0.013851071894168851
1,9,0,2014,3,1,73.499960899353
1,9,0,2014,3,2,19.01624450683596
1,9,0,2014,3,3,19.36373291015625
1,9,0,2014,3,4,10.507133483886701
1,9,0,2014,3,5,4.739491224288945
1,9,0,2014,3,6,159.3208312988282
1,9,0,2014,3,7,0.04340006709098816
1,9,0,2014,3,8,0.22083885669708253
1,9,0,2014,3,9,0.494720315933228
1,9,0,2014,3,10,6.69477939605712
1,9,0,2014,3,11,0.292827558517456
1,9,0,2014,3,12,0.31290321350097655
1,9,0,2014,4,1,21.67508125305175
1,9,0,2014,4,2,16.78641700744632
1,9,0,2014,4,3,28.815994262695302
1,9,0,2014,4,4,14.571405029296901
1,9,0,2014,4,5,8.312320232391361
1,9,0,2014,4,6,185.9194946289062
1,9,0,2014,4,7,0.1417823076248168
1,9,0,2014,4,8,1.387175941467285
1,9,0,2014,4,9,0.9455272674560551
1,9,0,2014,4,10,6.5694580078125
1,9,0,2014,4,11,0.509513568878174
1,9,0,2014,4,12,1.141247844696045
1,9,0,2014,5,1,19.807337522506725
1,9,0,2014,5,2,14.20534515380856
1,9,0,2014,5,3,45.544082641601555
1,9,0,2014,5,4,21.3038299560547
1,9,0,2014,5,5,19.403823852539098
1,9,0,2014,5,6,153.7675323486328
1,9,0,2014,5,7,1.850629806518552
1,9,0,2014,5,8,5.296676635742201
1,9,0,2014,5,9,2.06265773773193
1,9,0,2014,5,10,5.1256954193115245
1,9,0,2014,5,11,0.5108948707580571
1,9,0,2014,5,12,1.63784236907959
1,9,0,2014,6,1,5.97467601299285
1,9,0,2014,6,2,3.9695297241210956
1,9,0,2014,6,3,26.88943786621095
1,9,0,2014,6,4,13.282398986816402
1,9,0,2014,6,5,16.4010987281799
1,9,0,2014,6,6,43.3821411132812
1,9,0,2014,6,7,4.138185119628904
1,9,0,2014,6,8,6.96141204833985
1,9,0,2014,6,9,1.10764188766479
1,9,0,2014,6,10,4.961115074157713
1,9,0,2014,6,11,0.11610703468322801
1,9,0,2014,6,12,0.3704158782958985
1,9,0,2014,7,1,2.2828875482082376
1,9,0,2014,7,2,0.3852654933929448
1,9,0,2014,7,3,19.352490234375
1,9,0,2014,7,4,12.2695869445801
1,9,0,2014,7,5,5.196992754936225
1,9,0,2014,7,6,9.31144714355468
1,9,0,2014,7,7,8.88166427612304
1,9,0,2014,7,8,6.59171600341795
1,9,0,2014,7,9,2.39911251068115
1,9,0,2014,7,10,1.553561210632326
1,9,0,2014,7,11,0.0408972531557083
1,9,0,2014,7,12,0.1448305010795595
1,9,0,2014,8,1,1.4818933606147775
