,ScenarioID,CountryID,PolicyID,Year,triplenID,modeID,td
0,1,9,0,2012,1,1,140.554895401001
1,1,9,0,2012,1,2,1.527704143524168
2,1,9,0,2012,1,3,0.6211542129516601
3,1,9,0,2012,1,4,0.3729252099990845
4,1,9,0,2012,1,5,0.057659056037664455
5,1,9,0,2012,1,6,1.89215624332428
6,1,9,0,2012,1,7,0.0
7,1,9,0,2012,1,8,0.0
8,1,9,0,2012,1,9,0.027228575944900503
9,1,9,0,2012,1,10,0.1008924007415772
10,1,9,0,2012,1,11,0.0014350407756865001
11,1,9,0,2012,1,12,0.0003482482861727475
12,1,9,0,2012,2,1,135.82117080688474
13,1,9,0,2012,2,2,7.43428115844726
14,1,9,0,2012,2,3,3.83992118835449
15,1,9,0,2012,2,4,2.201474952697755
16,1,9,0,2012,2,5,0.53319901227951
17,1,9,0,2012,2,6,23.945816040039
18,1,9,0,2012,2,7,0.0
19,1,9,0,2012,2,8,0.004481494054198266
20,1,9,0,2012,2,9,0.14139795303344702
21,1,9,0,2012,2,10,1.80270924568176
22,1,9,0,2012,2,11,0.0296927958726883
23,1,9,0,2012,2,12,0.013851071894168851
24,1,9,0,2012,3,1,73.499960899353
25,1,9,0,2012,3,2,19.01624450683596
26,1,9,0,2012,3,3,19.36373291015625
27,1,9,0,2012,3,4,10.507133483886701
28,1,9,0,2012,3,5,4.739491224288945
29,1,9,0,2012,3,6,159.3208312988282
30,1,9,0,2012,3,7,0.04340006709098816
31,1,9,0,2012,3,8,0.22083885669708253
32,1,9,0,2012,3,9,0.494720315933228
33,1,9,0,2012,3,10,6.69477939605712
34,1,9,0,2012,3,11,0.292827558517456
35,1,9,0,2012,3,12,0.31290321350097655
36,1,9,0,2012,4,1,21.67508125305175
37,1,9,0,2012,4,2,16.78641700744632
38,1,9,0,2012,4,3,28.815994262695302
39,1,9,0,2012,4,4,14.571405029296901
40,1,9,0,2012,4,5,8.312320232391361
41,1,9,0,2012,4,6,185.9194946289062
42,1,9,0,2012,4,7,0.1417823076248168
43,1,9,0,2012,4,8,1.387175941467285
44,1,9,0,2012,4,9,0.9455272674560551
45,1,9,0,2012,4,10,6.5694580078125
46,1,9,0,2012,4,11,0.509513568878174
47,1,9,0,2012,4,12,1.141247844696045
48,1,9,0,2012,5,1,19.807337522506725
49,1,9,0,2012,5,2,14.20534515380856
50,1,9,0,2012,5,3,45.544082641601555
51,1,9,0,2012,5,4,21.3038299560547
52,1,9,0,2012,5,5,19.403823852539098
53,1,9,0,2012,5,6,153.7675323486328
54,1,9,0,2012,5,7,1.850629806518552
55,1,9,0,2012,5,8,5.296676635742201
56,1,9,0,2012,5,9,2.06265773773193
57,1,9,0,2012,5,10,5.1256954193115245
58,1,9,0,2012,5,11,0.5108948707580571
59,1,9,0,2012,5,12,1.63784236907959
