CountryID,TechID,Age,TransTypeID,VehTypeID,MassCatID,EngineID,FuelID,NumVeh
9,10.0,0,1.0,2.0,4.0,10.0,1.0,47969.056
9,10.0,1,1.0,2.0,4.0,10.0,1.0,69139.056
9,10.0,2,1.0,2.0,4.0,10.0,1.0,27140.552
9,10.0,3,1.0,2.0,4.0,10.0,1.0,34187.56799999999
9,10.0,4,1.0,2.0,4.0,10.0,1.0,197502.008
9,10.0,5,1.0,2.0,4.0,10.0,1.0,14603.312000000002
9,10.0,6,1.0,2.0,4.0,10.0,1.0,24480.32
9,10.0,7,1.0,2.0,4.0,10.0,1.0,16839.144
9,10.0,8,1.0,2.0,4.0,10.0,1.0,4811.184
9,25.0,0,1.0,2.0,4.0,11.0,12.0,6185.807999999999
9,25.0,1,1.0,2.0,4.0,11.0,12.0,9622.368
9,25.0,2,1.0,2.0,4.0,11.0,12.0,3780.216
9,25.0,3,1.0,2.0,4.0,11.0,12.0,4811.183999999999
9,25.0,4,1.0,2.0,4.0,11.0,12.0,1374.624
9,25.0,5,1.0,2.0,4.0,11.0,12.0,2061.936
9,25.0,6,1.0,2.0,4.0,11.0,12.0,3436.56
9,25.0,7,1.0,2.0,4.0,11.0,12.0,2405.592
9,25.0,8,1.0,2.0,4.0,11.0,12.0,687.312
9,40.0,0,1.0,2.0,4.0,12.0,1.0,6185.807999999999
9,40.0,1,1.0,2.0,4.0,12.0,1.0,9622.368
9,40.0,2,1.0,2.0,4.0,12.0,1.0,3780.216
9,40.0,3,1.0,2.0,4.0,12.0,1.0,4811.183999999999
9,40.0,4,1.0,2.0,4.0,12.0,1.0,1374.624
9,40.0,5,1.0,2.0,4.0,12.0,1.0,2061.936
9,40.0,6,1.0,2.0,4.0,12.0,1.0,3436.56
9,40.0,7,1.0,2.0,4.0,12.0,1.0,2405.592
9,40.0,8,1.0,2.0,4.0,12.0,1.0,687.312
9,50.0,0,1.0,2.0,4.0,13.0,13.0,6185.807999999999
9,50.0,1,1.0,2.0,4.0,13.0,13.0,9622.368
9,50.0,2,1.0,2.0,4.0,13.0,13.0,3780.216
