ScenarioID,CountryID,TechID,JSTypeVSMID,TechDescription,TransTypeID,VehTypeID,MassCatID,VKM
1,9,190.0,2,Road-Large (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714
1,9,190.0,3,Road-Large (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714
1,9,200.0,1,Road-Large (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,3.0,0.0021794837571428
1,9,200.0,2,Road-Large (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714
1,9,200.0,3,Road-Large (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714
1,9,210.0,1,Road-Large (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,3.0,0.0021794837571428
1,9,210.0,2,Road-Large (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714
1,9,210.0,3,Road-Large (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714
1,9,220.0,1,Road-Large (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,3.0,0.0021794837571428
1,9,220.0,2,Road-Large (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714
1,9,220.0,3,Road-Large (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714
1,9,230.0,1,Road-Large (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,3.0,0.0021794837571428
1,9,230.0,2,Road-Large (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714
1,9,230.0,3,Road-Large (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714
1,9,240.0,1,Road-Large (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,3.0,0.0021794837571428
1,9,240.0,2,Road-Large (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714
1,9,240.0,3,Road-Large (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714
1,9,245.0,1,Road-Large (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,3.0,0.0021794837571428
1,9,245.0,2,Road-Large (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714
1,9,245.0,3,Road-Large (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714
