CountryID,TransTypeID,VehTypeID,Age,TotNumVeh,TotNumVeh-1,NumVehScrap
9,1.0,2.0,0,67460.37999999999,67460.37999999999,0
9,1.0,2.0,1,98362.73999999999,98362.73999999999,0
9,1.0,2.0,2,38617.03999999999,38617.03999999999,0
9,1.0,2.0,3,48722.99999999999,48722.99999999999,0
9,1.0,2.0,4,201676.82,201676.82,0
9,1.0,2.0,5,20823.08,20823.08,0
9,1.0,2.0,6,34874.9,34874.9,0
9,1.0,2.0,7,24055.92,24055.92,0
9,1.0,2.0,8,6873.119999999999,6873.119999999999,0
9,1.0,3.0,5,5264.2803354213,5264.2803354213,0
9,1.0,3.0,6,9935.121006263887,9935.121006263887,0
9,1.0,3.0,7,38755.77237017579,38755.77237017579,0
9,1.0,3.0,8,44997.78883566223,44997.78883566223,0
9,1.0,3.0,9,61073.06994948475,61073.06994948475,0
9,1.0,3.0,10,57143.14316062296,57143.14316062296,0
9,1.0,3.0,11,48436.1403369756,48436.1403369756,0
9,1.0,3.0,12,44705.42490316613,44705.42490316613,0
9,1.0,3.0,13,35528.27016848782,35528.27016848782,0
9,1.0,3.0,14,34482.882780204236,34482.882780204236,0
9,1.0,3.0,15,24645.30337519624,24645.30337519624,0
9,1.0,3.0,16,24384.65985241773,24384.65985241773,0
9,1.0,3.0,17,29621.542553895888,29621.542553895888,0
9,1.0,3.0,18,15056.623108320247,15056.623108320247,0
9,1.0,3.0,19,14414.23405808477,14414.23405808477,0
9,1.0,3.0,20,10226.816687598115,10226.816687598115,0
9,1.0,3.0,21,8933.14018340924,8933.14018340924,0
9,1.0,3.0,22,4563.985266875981,4563.985266875981,0
9,1.0,3.0,23,4151.917959183675,4151.917959183675,0
9,1.0,3.0,24,4563.985266875981,4563.985266875981,0
9,1.0,3.0,25,5525.475651491366,5525.475651491366,0
9,1.0,3.0,4,1431.277106486159,1431.277106486159,0
9,1.0,3.0,0,79.88118811881189,79.88118811881189,0
9,1.0,3.0,1,439.04152354010915,439.04152354010915,0
9,1.0,3.0,2,518.922711658921,518.922711658921,0
9,1.0,3.0,3,359.1603354212972,359.1603354212972,0
9,1.0,3.0,26,1010.2611852433281,1010.2611852433281,0
9,1.0,3.0,29,797.5918367346937,797.5918367346937,0
9,1.0,3.0,30,336.7537284144427,336.7537284144427,0
9,1.0,3.0,32,336.7537284144427,336.7537284144427,0
9,1.0,3.0,27,412.06730769230785,412.06730769230785,0
9,1.0,3.0,28,274.71153846153857,274.71153846153857,0
9,1.0,4.0,0,2189.21875,2189.21875,0
9,1.0,4.0,1,3886.549139352711,3886.549139352711,0
9,1.0,4.0,2,5405.716646065642,5405.716646065642,0
9,1.0,4.0,3,5953.883312732308,5953.883312732308,0
9,1.0,4.0,4,4907.961544024826,4907.961544024826,0
9,1.0,4.0,5,3976.2923044217687,3976.2923044217687,0
9,1.0,4.0,6,5092.251062925168,5092.251062925168,0
9,1.0,4.0,7,6591.201851448952,6591.201851448952,0
9,1.0,4.0,8,6111.985249215278,6111.985249215278,0
9,1.0,4.0,9,9663.018869860502,9663.018869860502,0
9,1.0,4.0,10,4192.5555929455495,4192.5555929455495,0
9,1.0,4.0,11,4400.025574623788,4400.025574623788,0
9,1.0,4.0,12,4623.333888671058,4623.333888671058,0
9,1.0,4.0,13,4097.517093138412,4097.517093138412,0
9,1.0,4.0,14,6630.939808815592,6630.939808815592,0
9,1.0,4.0,15,13241.268712663139,13241.268712663139,0
9,1.0,4.0,16,13988.032093898166,13988.032093898166,0
9,1.0,4.0,17,16658.49647624202,16658.49647624202,0
9,1.0,4.0,18,9525.741617734253,9525.741617734253,0
9,1.0,4.0,19,7500.6862373737395,7500.6862373737395,0
9,1.0,4.0,20,8322.44349747475,8322.44349747475,0
9,1.0,4.0,21,4477.285483703011,4477.285483703011,0
9,1.0,4.0,22,2109.9958346350104,2109.9958346350104,0
9,1.0,4.0,23,2020.2020202020208,2020.2020202020208,0
9,1.0,4.0,24,1341.5302412006668,1341.5302412006668,0
9,1.0,4.0,25,2525.175065734667,2525.175065734667,0
9,1.0,4.0,26,2696.6699636938506,2696.6699636938506,0
9,1.0,4.0,28,511.0168599656357,511.0168599656357,0
9,1.0,4.0,27,583.6597938144331,583.6597938144331,0
9,1.0,4.0,29,173.5438144329897,173.5438144329897,0
9,1.0,4.0,30,269.3814432989691,269.3814432989691,0
9,1.0,4.0,31,524.6263412581527,524.6263412581527,0
9,1.0,4.0,32,89.79381443298969,89.79381443298969,0
9,1.0,6.0,12,22.2191197087551,22.2191197087551,0
9,1.0,6.0,13,22.187643126084005,22.187643126084005,0
9,1.0,6.0,14,22.141187596616998,22.141187596616998,0
9,1.0,6.0,15,22.073794651547,22.073794651547,0
9,1.0,6.0,16,21.977586349223003,21.977586349223003,0
9,1.0,6.0,17,21.8379888,21.8379888,0
9,1.0,6.0,18,21.595339400000004,21.595339400000004,0
9,1.0,6.0,19,21.3405002,21.3405002,0
9,1.0,6.0,20,20.997893700000002,20.997893700000002,0
9,1.0,6.0,21,20.5443141,20.5443141,0
9,1.0,6.0,22,19.952577200000004,19.952577200000004,0
9,1.0,6.0,23,19.196341,19.196341,0
9,1.0,6.0,24,18.246904400000005,18.246904400000005,0
9,1.0,6.0,25,17.080587100000002,17.080587100000002,0
9,1.0,6.0,26,15.6823961,15.6823961,0
9,1.0,6.0,27,14.055683200000002,14.055683200000002,0
9,1.0,6.0,28,12.2189869,12.2189869,0
9,1.0,6.0,29,10.234863800000003,10.234863800000003,0
9,1.0,6.0,30,8.1907577,8.1907577,0
