PolicyID,ScenarioID,CountryID,Year,TransTypeID,VehTypeID,MassCatID,NumNewVeh,Unnamed: 0
0,1,9,2012,1,3,1,45798.33746082663,0.0
0,1,9,2012,1,3,2,11977.280043586434,1.0
0,1,9,2012,1,3,3,1763.1046484145495,2.0
0,1,9,2012,1,4,11,2172.3721158584594,3.0
0,1,9,2012,1,4,13,436.255768335218,4.0
0,1,9,2012,1,4,12,2172.372115806322,5.0
0,1,9,2012,1,2,4,139420.0,6.0
0,1,9,2012,1,6,31,3.1506000000000003,7.0
0,1,9,2012,1,6,32,17.3047,8.0
0,1,9,2012,1,6,33,1.82015,9.0
0,1,9,2012,1,6,34,0.0,10.0
0,1,9,2012,1,8,41,0.1577107,11.0
0,1,9,2012,1,8,42,1.439874,12.0
0,1,9,2012,1,8,43,1.4661840000000002,13.0
0,1,9,2012,1,8,44,0.4656849,14.0
0,1,9,2012,1,8,45,0.0,15.0
0,1,9,2012,2,3,11,4667.094342088013,16.0
0,1,9,2012,2,3,21,4283.183505084382,17.0
0,1,9,2012,2,5,11,3629.9498831752703,18.0
0,1,9,2012,2,5,21,7259.899767415698,19.0
0,1,9,2012,2,5,22,12229.277068089166,20.0
0,1,9,2012,2,5,23,4543.873281319865,21.0
0,1,9,2012,2,6,32,2.478,22.0
0,1,9,2012,2,7,51,1.3701660000000002,23.0
0,1,9,2012,2,7,52,0.648814,24.0
0,1,9,2012,2,8,42,0.07385445,25.0
0,1,9,2012,2,8,43,0.2253567,26.0
0,1,9,2012,2,8,44,0.07512245,27.0
0,1,9,2013,1,3,1,0.0,0.0
0,1,9,2013,1,3,2,0.0,1.0
0,1,9,2013,1,3,3,0.0,2.0
0,1,9,2013,1,4,11,0.0,3.0
0,1,9,2013,1,4,13,0.0,4.0
0,1,9,2013,1,4,12,0.0,5.0
0,1,9,2013,1,2,4,0.0,6.0
0,1,9,2013,1,6,31,0.0,7.0
0,1,9,2013,1,6,32,0.0,8.0
0,1,9,2013,1,6,33,0.0,9.0
0,1,9,2013,1,6,34,0.0,10.0
0,1,9,2013,1,8,41,0.0,11.0
0,1,9,2013,1,8,42,0.0,12.0
0,1,9,2013,1,8,43,0.0,13.0
0,1,9,2013,1,8,44,0.0,14.0
0,1,9,2013,1,8,45,0.0,15.0
0,1,9,2013,2,3,11,0.0,16.0
0,1,9,2013,2,3,21,0.0,17.0
0,1,9,2013,2,5,11,0.0,18.0
0,1,9,2013,2,5,21,0.0,19.0
0,1,9,2013,2,5,22,0.0,20.0
0,1,9,2013,2,5,23,0.0,21.0
0,1,9,2013,2,6,32,0.0,22.0
0,1,9,2013,2,7,51,0.0,23.0
0,1,9,2013,2,7,52,0.0,24.0
0,1,9,2013,2,8,42,0.0,25.0
0,1,9,2013,2,8,43,0.0,26.0
0,1,9,2013,2,8,44,0.0,27.0
0,1,9,2014,1,3,1,0.0,0.0
0,1,9,2014,1,3,2,0.0,1.0
0,1,9,2014,1,3,3,0.0,2.0
0,1,9,2014,1,4,11,0.0,3.0
0,1,9,2014,1,4,13,0.0,4.0
0,1,9,2014,1,4,12,0.0,5.0
0,1,9,2014,1,2,4,0.0,6.0
0,1,9,2014,1,6,31,0.0,7.0
0,1,9,2014,1,6,32,0.0,8.0
0,1,9,2014,1,6,33,0.0,9.0
0,1,9,2014,1,6,34,0.0,10.0
0,1,9,2014,1,8,41,0.0,11.0
0,1,9,2014,1,8,42,0.0,12.0
0,1,9,2014,1,8,43,0.0,13.0
0,1,9,2014,1,8,44,0.0,14.0
0,1,9,2014,1,8,45,0.0,15.0
0,1,9,2014,2,3,11,0.0,16.0
0,1,9,2014,2,3,21,0.0,17.0
