ScenarioID,CountryID,TechID,Year,Age,TransTypeID,VehTypeID,MassCatID,EngineID,FuelID,NumVeh
1,9,70,2012,17,1,3,1,1,1,36047.21
1,9,70,2012,18,1,3,1,1,1,14382.69
1,9,70,2012,19,1,3,1,1,1,4565.78
1,9,70,2012,20,1,3,1,1,1,1060.07
1,9,70,2012,21,1,3,1,1,1,196.12
1,9,70,2012,22,1,3,1,1,1,30.39
1,9,70,2012,23,1,3,1,1,1,2.66
1,9,70,2012,24,1,3,1,1,1,0.11
1,9,70,2012,25,1,3,1,1,1,0.00
1,9,70,2012,26,1,3,1,1,1,0.00
1,9,70,2012,27,1,3,1,1,1,0.00
1,9,70,2012,28,1,3,1,1,1,0.00
1,9,70,2012,29,1,3,1,1,1,0.00
1,9,70,2012,30,1,3,1,1,1,0.00
1,9,70,2012,31,1,3,1,1,1,0.00
1,9,70,2012,32,1,3,1,1,1,0.00
1,9,70,2012,33,1,3,1,1,1,0.00
1,9,70,2013,18,1,3,1,1,1,15526.32
1,9,70,2013,19,1,3,1,1,1,4930.29
1,9,70,2013,20,1,3,1,1,1,1185.56
1,9,70,2013,21,1,3,1,1,1,196.83
1,9,70,2013,22,1,3,1,1,1,24.36
1,9,70,2013,23,1,3,1,1,1,2.34
1,9,70,2013,24,1,3,1,1,1,0.12
1,9,70,2013,25,1,3,1,1,1,0.00
1,9,70,2013,26,1,3,1,1,1,0.00
1,9,70,2013,27,1,3,1,1,1,0.00
1,9,70,2013,28,1,3,1,1,1,0.00
1,9,70,2013,29,1,3,1,1,1,0.00
1,9,70,2013,30,1,3,1,1,1,0.00
1,9,70,2013,31,1,3,1,1,1,0.00
1,9,70,2013,32,1,3,1,1,1,0.00
1,9,70,2013,33,1,3,1,1,1,0.00
1,9,70,2014,19,1,3,1,1,1,5322.32
1,9,70,2014,20,1,3,1,1,1,1280.21
1,9,70,2014,21,1,3,1,1,1,220.13
1,9,70,2014,22,1,3,1,1,1,24.44
1,9,70,2014,23,1,3,1,1,1,1.87
1,9,70,2014,24,1,3,1,1,1,0.10
1,9,70,2014,25,1,3,1,1,1,0.00
1,9,70,2014,26,1,3,1,1,1,0.00
1,9,70,2014,27,1,3,1,1,1,0.00
1,9,70,2014,28,1,3,1,1,1,0.00
1,9,70,2014,29,1,3,1,1,1,0.00
1,9,70,2014,30,1,3,1,1,1,0.00
1,9,70,2014,31,1,3,1,1,1,0.00
1,9,70,2014,32,1,3,1,1,1,0.00
1,9,70,2014,33,1,3,1,1,1,0.00
1,9,70,2015,20,1,3,1,1,1,1382.00
1,9,70,2015,21,1,3,1,1,1,237.71
1,9,70,2015,22,1,3,1,1,1,27.34
1,9,70,2015,23,1,3,1,1,1,1.88
1,9,70,2015,24,1,3,1,1,1,0.08
1,9,70,2015,25,1,3,1,1,1,0.00
1,9,70,2015,26,1,3,1,1,1,0.00
1,9,70,2015,27,1,3,1,1,1,0.00
1,9,70,2015,28,1,3,1,1,1,0.00
1,9,70,2015,29,1,3,1,1,1,0.00
1,9,70,2015,30,1,3,1,1,1,0.00
1,9,70,2015,31,1,3,1,1,1,0.00
1,9,70,2015,32,1,3,1,1,1,0.00
1,9,70,2015,33,1,3,1,1,1,0.00
1,9,70,2016,21,1,3,1,1,1,256.61
1,9,70,2016,22,1,3,1,1,1,29.52
1,9,70,2016,23,1,3,1,1,1,2.10
1,9,70,2016,24,1,3,1,1,1,0.08
1,9,70,2016,25,1,3,1,1,1,0.00
1,9,70,2016,26,1,3,1,1,1,0.00
1,9,70,2016,27,1,3,1,1,1,0.00
1,9,70,2016,28,1,3,1,1,1,0.00
1,9,70,2016,29,1,3,1,1,1,0.00
1,9,70,2016,30,1,3,1,1,1,0.00
1,9,70,2016,31,1,3,1,1,1,0.00
1,9,70,2016,32,1,3,1,1,1,0.00
1,9,70,2016,33,1,3,1,1,1,0.00
1,9,70,2016,34,1,3,1,1,1,0.00
1,9,70,2017,22,1,3,1,1,1,31.87
1,9,70,2017,23,1,3,1,1,1,2.27
1,9,70,2017,24,1,3,1,1,1,0.09
1,9,70,2017,25,1,3,1,1,1,0.00
1,9,70,2017,26,1,3,1,1,1,0.00
1,9,70,2017,27,1,3,1,1,1,0.00
1,9,70,2017,28,1,3,1,1,1,0.00
1,9,70,2017,29,1,3,1,1,1,0.00
1,9,70,2017,30,1,3,1,1,1,0.00
1,9,70,2017,31,1,3,1,1,1,0.00
1,9,70,2017,32,1,3,1,1,1,0.00
1,9,70,2017,33,1,3,1,1,1,0.00
1,9,70,2017,34,1,3,1,1,1,0.00
1,9,70,2018,23,1,3,1,1,1,2.45
1,9,70,2018,24,1,3,1,1,1,0.10
1,9,70,2018,25,1,3,1,1,1,0.00
1,9,70,2018,26,1,3,1,1,1,0.00
1,9,70,2018,27,1,3,1,1,1,0.00
1,9,70,2018,28,1,3,1,1,1,0.00
1,9,70,2018,29,1,3,1,1,1,0.00
1,9,70,2018,30,1,3,1,1,1,0.00
1,9,70,2018,31,1,3,1,1,1,0.00
1,9,70,2018,32,1,3,1,1,1,0.00
1,9,70,2018,33,1,3,1,1,1,0.00
1,9,70,2018,34,1,3,1,1,1,0.00
1,9,70,2019,24,1,3,1,1,1,0.11
1,9,70,2019,25,1,3,1,1,1,0.00
1,9,70,2019,26,1,3,1,1,1,0.00
1,9,70,2019,27,1,3,1,1,1,0.00
1,9,70,2019,28,1,3,1,1,1,0.00
1,9,70,2019,29,1,3,1,1,1,0.00
