TDVSID,ScenarioID,CountryID,Year,TechID,VehCatID,NumVeh
0,1,9,2012,10,S,441.18
0,1,9,2012,10,T,11580.50
0,1,9,2012,20,S,0.00
0,1,9,2012,20,T,0.01
0,1,9,2012,25,N,405.57
0,1,9,2012,25,S,24.05
0,1,9,2012,25,T,631.42
0,1,9,2012,30,S,30253.93
0,1,9,2012,30,T,794134.31
0,1,9,2012,40,N,154185.91
0,1,9,2012,40,S,12518.53
0,1,9,2012,40,T,328598.52
0,1,9,2012,70,S,3193.54
0,1,9,2012,70,T,56285.04
0,1,9,2012,80,N,458329.97
0,1,9,2012,80,S,102465.86
0,1,9,2012,80,T,1805923.97
0,1,9,2012,90,S,1473.76
0,1,9,2012,90,T,25974.50
0,1,9,2012,91,S,0.00
0,1,9,2012,100,S,53107.16
0,1,9,2012,100,T,935994.54
0,1,9,2012,110,S,119342.86
0,1,9,2012,110,T,2103374.94
0,1,9,2012,120,S,98569.96
0,1,9,2012,120,T,1737260.16
0,1,9,2012,130,S,4129.40
0,1,9,2012,130,T,72779.14
0,1,9,2012,140,N,694126.44
0,1,9,2012,140,S,152695.20
0,1,9,2012,140,T,2691198.06
0,1,9,2012,150,S,1905.64
0,1,9,2012,150,T,33586.22
0,1,9,2012,160,S,55761.29
0,1,9,2012,160,T,982772.68
0,1,9,2012,161,N,519.75
0,1,9,2012,161,S,37.90
0,1,9,2012,161,T,667.93
0,1,9,2012,170,S,190781.77
0,1,9,2012,170,T,3362460.13
0,1,9,2012,181,S,147463.32
0,1,9,2012,181,T,2598988.00
0,1,9,2012,190,S,581.88
0,1,9,2012,190,T,10255.35
0,1,9,2012,191,N,286.92
0,1,9,2012,191,S,48.94
0,1,9,2012,191,T,862.47
0,1,9,2012,200,N,274760.16
0,1,9,2012,200,S,56190.46
0,1,9,2012,200,T,990336.72
0,1,9,2012,210,S,268.52
0,1,9,2012,210,T,4732.65
0,1,9,2012,220,S,8819.99
0,1,9,2012,220,T,155449.14
0,1,9,2012,230,S,43888.55
0,1,9,2012,230,T,773519.99
0,1,9,2012,240,S,44861.20
0,1,9,2012,240,T,790662.56
0,1,9,2012,250,S,678.05
0,1,9,2012,250,T,11950.37
0,1,9,2012,260,N,301154.13
0,1,9,2012,260,S,68663.09
0,1,9,2012,260,T,1210162.34
0,1,9,2012,261,S,42.58
0,1,9,2012,261,T,750.47
0,1,9,2012,265,N,555481.44
0,1,9,2012,265,S,114313.98
0,1,9,2012,265,T,2014742.78
0,1,9,2012,270,S,312.91
0,1,9,2012,270,T,5514.87
0,1,9,2012,275,S,0.00
0,1,9,2012,276,N,31.09
0,1,9,2012,276,S,2.13
0,1,9,2012,276,T,37.53
0,1,9,2012,280,S,16692.04
0,1,9,2012,280,T,294191.20
0,1,9,2012,290,S,42173.08
0,1,9,2012,290,T,743285.31
0,1,9,2012,291,S,84.52
0,1,9,2012,291,T,1489.56
0,1,9,2012,295,S,69689.12
0,1,9,2012,295,T,1228245.66
0,1,9,2012,300,S,65308.78
0,1,9,2012,300,T,1151043.72
0,1,9,2012,302,S,90.65
0,1,9,2012,302,T,1597.63
0,1,9,2012,305,S,93565.23
0,1,9,2012,305,T,1649053.59
0,1,9,2012,310,S,95.52
0,1,9,2012,310,T,1683.43
0,1,9,2012,320,N,31157.86
0,1,9,2012,320,S,4428.49
0,1,9,2012,320,T,78050.51
0,1,9,2012,330,S,44.08
0,1,9,2012,330,T,776.87
0,1,9,2012,340,S,4712.94
0,1,9,2012,340,T,83063.81
0,1,9,2012,350,S,16152.35
0,1,9,2012,350,T,284679.34
0,1,9,2012,351,S,0.00
0,1,9,2012,351,T,0.09
0,1,9,2012,360,S,28216.97
0,1,9,2012,360,T,497313.95
0,1,9,2012,361,S,13.57
0,1,9,2012,361,T,239.14
0,1,9,2012,362,S,0.16
0,1,9,2012,362,T,2.85
0,1,9,2012,363,N,202569.50
0,1,9,2012,363,S,40987.91
0,1,9,2012,363,T,722397.17
0,1,9,2012,385,S,0.00
0,1,9,2012,386,S,1.02
0,1,9,2012,386,T,17.96
0,1,9,2012,400,N,4809.08
0,1,9,2012,400,S,583.70
0,1,9,2012,400,T,10287.57
0,1,9,2012,410,S,45.99
0,1,9,2012,410,T,810.63
0,1,9,2012,411,S,17.18
0,1,9,2012,411,T,302.79
0,1,9,2012,420,S,0.00
0,1,9,2012,430,S,1.79
0,1,9,2012,430,T,31.62
0,1,9,2012,431,S,273.14
0,1,9,2012,431,T,4814.02
0,1,9,2012,432,S,0.00
0,1,9,2012,433,S,0.00
0,1,9,2012,441,S,0.00
0,1,9,2012,442,S,227.77
0,1,9,2012,442,T,4014.39
0,1,9,2012,443,S,0.00
0,1,9,2012,444,S,0.00
0,1,9,2012,460,S,14.70
0,1,9,2012,460,T,259.16
0,1,9,2012,461,N,7788.98
0,1,9,2012,461,S,1041.80
0,1,9,2012,461,T,18361.35
0,1,9,2012,470,S,0.05
0,1,9,2012,470,T,0.85
0,1,9,2012,471,N,2252.35
0,1,9,2012,471,S,287.17
0,1,9,2012,471,T,5061.26
0,1,9,2012,480,S,0.00
0,1,9,2012,510,S,0.00
0,1,9,2012,515,N,162.69
0,1,9,2012,515,S,13.31
0,1,9,2012,515,T,234.54
0,1,9,2012,520,S,0.00
0,1,9,2012,521,S,0.00
0,1,9,2012,530,S,0.00
0,1,9,2012,531,S,0.00
0,1,9,2012,540,S,0.00
0,1,9,2012,541,S,0.00
0,1,9,2012,550,S,0.00
0,1,9,2012,551,S,0.00
0,1,9,2012,600,S,0.00
0,1,9,2012,610,S,0.00
0,1,9,2012,611,N,14.51
0,1,9,2012,611,S,1.09
0,1,9,2012,611,T,19.26
0,1,9,2012,620,N,9046.38
0,1,9,2012,620,S,1175.47
0,1,9,2012,620,T,20717.27
0,1,9,2012,630,S,303.06
0,1,9,2012,630,T,3965.31
0,1,9,2012,631,N,32.51
0,1,9,2012,631,S,5.89
0,1,9,2012,631,T,103.79
0,1,9,2012,640,S,3338.46
0,1,9,2012,640,T,43680.52
0,1,9,2012,641,N,0.17
0,1,9,2012,641,S,0.01
0,1,9,2012,641,T,0.17
0,1,9,2012,660,S,0.00
0,1,9,2012,660,T,0.00
0,1,9,2012,670,N,6242.12
0,1,9,2012,670,S,3304.68
0,1,9,2012,670,T,43238.53
0,1,9,2012,680,S,0.17
0,1,9,2012,680,T,2.24
0,1,9,2012,690,N,26.95
0,1,9,2012,690,S,8.14
0,1,9,2012,690,T,106.54
0,1,9,2012,691,S,0.00
0,1,9,2012,691,T,0.01
0,1,9,2012,700,S,103.25
0,1,9,2012,700,T,1350.96
0,1,9,2012,720,S,12.02
0,1,9,2012,720,T,157.30
0,1,9,2012,730,N,44.51
0,1,9,2012,730,S,6.54
0,1,9,2012,730,T,85.63
0,1,9,2012,810,S,28.28
0,1,9,2012,810,T,370.08
0,1,9,2012,811,N,0.01
0,1,9,2012,811,S,0.04
0,1,9,2012,811,T,0.55
0,1,9,2012,850,S,10.97
0,1,9,2012,850,T,143.59
0,1,9,2012,852,S,0.37
0,1,9,2012,852,T,4.80
0,1,9,2012,853,S,0.21
0,1,9,2012,853,T,2.79
0,1,9,2012,854,S,0.00
0,1,9,2012,857,N,0.38
0,1,9,2012,857,S,0.08
0,1,9,2012,857,T,1.02
0,1,9,2012,865,N,13.02
0,1,9,2012,865,S,2.52
0,1,9,2012,865,T,33.00
0,1,9,2012,870,S,309.05
0,1,9,2012,870,T,4043.57
0,1,9,2012,890,N,4474.85
0,1,9,2012,890,S,1187.78
0,1,9,2012,890,T,15540.91
0,1,9,2012,970,S,127.63
0,1,9,2012,970,T,1669.98
0,1,9,2012,980,S,1114.80
0,1,9,2012,980,T,14586.03
0,1,9,2012,981,N,4.14
0,1,9,2012,981,S,0.64
0,1,9,2012,981,T,8.42
0,1,9,2012,991,N,2.93
0,1,9,2012,991,S,0.49
0,1,9,2012,991,T,6.41
0,1,9,2012,1040,S,1209.41
0,1,9,2012,1040,T,15823.98
0,1,9,2012,1041,S,0.71
0,1,9,2012,1041,T,9.34
0,1,9,2012,1110,S,0.00
0,1,9,2012,1130,S,1038.60
0,1,9,2012,1130,T,13589.07
0,1,9,2012,1131,N,0.76
0,1,9,2012,1131,S,0.74
0,1,9,2012,1131,T,9.70
0,1,9,2012,1132,S,217.88
0,1,9,2012,1132,T,2850.70
0,1,9,2012,1142,N,3.43
0,1,9,2012,1142,S,0.64
0,1,9,2012,1142,T,8.43
0,1,9,2012,1150,S,0.02
0,1,9,2012,1150,T,0.22
0,1,9,2012,1151,N,3.02
0,1,9,2012,1151,S,0.43
0,1,9,2012,1151,T,5.61
0,1,9,2012,1152,S,18.22
0,1,9,2012,1152,T,238.44
0,1,9,2012,1153,N,264.07
0,1,9,2012,1153,S,71.84
0,1,9,2012,1153,T,939.96
0,1,9,2012,1158,S,8.68
0,1,9,2012,1158,T,113.60
0,1,9,2012,1159,S,64.72
0,1,9,2012,1159,T,846.82
0,1,9,2012,1163,S,71.08
0,1,9,2012,1163,T,930.06
0,1,9,2012,1164,S,0.27
0,1,9,2012,1164,T,3.51
0,1,9,2012,1166,S,72.15
0,1,9,2012,1166,T,944.04
0,1,9,2012,1167,N,0.05
0,1,9,2012,1167,S,0.10
0,1,9,2012,1167,T,1.30
0,1,9,2012,1168,S,0.00
0,1,9,2012,1168,T,0.01
0,1,9,2012,1180,N,0.01
0,1,9,2012,1180,S,0.00
