CountryID,TransTypeID,VehTypeID,MassCatID,TOT_Stock
9,1,3,1,300511.6928770339
9,1,3,2,78590.46641243531
9,1,3,3,11568.838346318014
9,1,4,11,27375.261362351746
9,1,4,13,5497.499987146902
9,1,4,12,27375.26136169474
9,1,2,4,205209.87954260866
9,1,6,31,89.91152401208798
9,1,6,32,493.794594114
9,1,6,33,51.88898880879
9,1,6,34,0.999946
9,1,8,41,4.3771633907053085
9,1,8,42,38.85039537153556
9,1,8,43,40.003572771535566
9,1,8,44,12.327674566906031
9,1,8,45,0.4115799190030259
9,2,3,11,30623.740932895886
9,2,3,21,28104.660504692984
9,2,5,11,8779.131508533217
9,2,5,21,17558.263019642545
9,2,5,22,29576.835793977923
9,2,5,23,10989.479849215679
9,2,6,32,70.71477686398
9,2,7,51,34.000629294105764
9,2,7,52,16.09937214058872
9,2,8,42,3.0610719675748825
9,2,8,43,8.810443656626568
9,2,8,44,2.936946553874555
