Label,Petrol,Battery Electric,Diesel,Biofuels/Mixes,Hydrogen,Jet Fuel,CNG/LPG
Baseline 2015,24.71374915194706,3.251687738227844,81.89724731862498,0.0,0.0,3.4948067396050773,0.5193100687056783
Omoka 2030,63.715282672514554,25.877126388585,158.66206306850304,0.03140829928288466,0.00034685869529553227,10.721250936987069,0.1280169753445079
Omoka 2040,32.455376549517744,86.27313839506212,105.05549663560893,0.002225855051002914,12.214280325301658,11.201195812780568,6.085271629899583e-07
Omoka 2050,17.03433056958627,142.58231573459,65.70321637864834,0.00013294660680818554,25.263317156884693,10.519779222231218,0.0
Electric Dreams 2030,73.80265765113066,24.75780503316119,180.4143193074307,0.040569082121625646,0.00033057056836084914,11.067848573882468,0.1382221490735187
Electric Dreams 2040,32.77751830605257,98.79573054247626,117.09831369088374,0.013143114264957977,0.002302939165069258,13.594494720133497,5.778528339078549e-07
Electric Dreams 2050,21.09963924502552,164.28284660397514,74.72084362944248,0.003566682717339755,0.011325143340445352,11.535088129915088,0.0
Kujinao 2030,65.95074316029577,15.364667946259747,153.02746963529805,0.050047301292438215,0.000400747005663288,10.907872194688498,0.2544186545147502
Kujinao 2040,44.20816961737296,42.38891547180948,144.24423199628464,0.02763231629037957,0.002203230639584465,11.388239698228487,7.69939822748711e-07
Kujinao 2050,28.45239077149032,68.32218944057281,146.67291704300658,0.014355284927816285,0.01112253959013358,10.342349983512682,0.0
Streetfighting 2030,83.70990215937975,7.801357839847295,173.82384567637263,0.05641605752847326,0.0002920027088823192,10.646623123961872,0.12964378397299445
Streetfighting 2040,82.63422664677447,18.994400387705497,177.27812231601965,0.04305446434351848,0.0018584153804969417,10.474267905099271,6.07263114648049e-07
Streetfighting 2050,88.584888251079,21.425826278767207,201.96034944179522,0.030693064166398554,0.008848087580096769,8.17593067430901,0.0
