Year,Scenario,Tech.VehType,Tech.Fuel,Value
2030,Streetfighting,Aeroplane,Aviation fuel (Jet A-1),0.738638391962811
2040,Streetfighting,Motorcycle,Gasoline,0.9715881446818209
2040,Streetfighting,Car,Gasoline,2.76695844487349
2040,Streetfighting,Car,Diesel,1.530858277912805
2040,Streetfighting,Bus,Gasoline,0.019710672386765597
2040,Streetfighting,Bus,Diesel,3.442341399963449
2040,Streetfighting,Bus,Bioethanol(85)-petrol(15) blend,0.0004613549518022468
2040,Streetfighting,Bus,Compressed Natural Gas,2.732902497518812e-8
2040,Streetfighting,Bus,Liquified Petroleum Gas,4.855340731297893e-9
2040,Streetfighting,Bus,"Biodiesel (FT, synthetic)",0.0026099466301277327
2040,Streetfighting,Truck,Diesel,7.744663658236463
2040,Streetfighting,Truck,Gasoline,2.4948828131587235
2040,Streetfighting,Train,Diesel,0.2535904373131764
2040,Streetfighting,Ship,Diesel,2.1274669192568565
2040,Streetfighting,Aeroplane,Aviation fuel (Jet A-1),0.7264647627164879
2050,Streetfighting,Motorcycle,Gasoline,0.7314977324609376
2050,Streetfighting,Car,Gasoline,2.852357951484507
2050,Streetfighting,Car,Diesel,1.4460298546678598
2050,Streetfighting,Bus,Gasoline,0.003170682938486336
2050,Streetfighting,Bus,Diesel,4.129400952449379
2050,Streetfighting,Bus,Bioethanol(85)-petrol(15) blend,0.00008701488062077306
2050,Streetfighting,Bus,"Biodiesel (FT, synthetic)",0.0020883645710200053
2050,Streetfighting,Truck,Diesel,8.94084035026099
2050,Streetfighting,Truck,Gasoline,3.0138382389535834
2050,Streetfighting,Train,Diesel,0.3554910604569735
2050,Streetfighting,Ship,Diesel,2.1870678312037257
2050,Streetfighting,Aeroplane,Aviation fuel (Jet A-1),0.5671324904174686
