Year,Scenario,Tech.VehType,Tech.Fuel,Value
2050,"Omoka (""Growth"")",Bus,Gasoline,209443.4680304232
2050,"Omoka (""Growth"")",Bus,Electricity,9529188340.477304
2050,"Omoka (""Growth"")",Bus,Diesel,20951195.56595392
2050,"Omoka (""Growth"")",Bus,Gaseous Hydrogen,0.156740717627279
2050,"Omoka (""Growth"")",Bus,"Biodiesel (FT, synthetic)",8911.753358376023
2050,"Omoka (""Growth"")",Truck,Diesel,25054980326.67276
2050,"Omoka (""Growth"")",Truck,Gaseous Hydrogen,2251469029.0798554
2050,"Omoka (""Growth"")",Truck,Electricity,55546413728.01426
2050,"Omoka (""Growth"")",Truck,Gasoline,1521730698.637285
2050,"Omoka (""Growth"")",Truck,Liquefied Hydrogen,1530725035.1179383
2050,"Omoka (""Growth"")",Train,Electricity,626315582.3107814
2050,"Omoka (""Growth"")",Train,Diesel,1689670.2013582431
2050,"Omoka (""Growth"")",Ship,Diesel,1866021.484602239
2050,"Omoka (""Growth"")",Aeroplane,Aviation fuel (Jet A-1),64841150.79516069
2050,"Omoka (""Growth"")",Aeroplane,Electricity,36852193.13410929
2050,"Omoka (""Growth"")",Aeroplane,Liquefied Hydrogen,48745.64056844829
2050,"Omoka (""Growth"")",Bus,Bioethanol(85)-petrol(15) blend,1543.903396308834
2015,Electric Dreams,Motorcycle,Gasoline,17102079093.456263
2015,Electric Dreams,Motorcycle,Electricity,976628340.7807345
2015,Electric Dreams,Motorcycle,Gaseous Hydrogen,0.533824609516564
2015,Electric Dreams,Car,Gasoline,12049924471.490543
2015,Electric Dreams,Car,Diesel,9814225548.368713
2015,Electric Dreams,Car,Electricity,15850.780943571513
2015,Electric Dreams,Bus,Diesel,5084909506.490518
2015,Electric Dreams,Bus,Gasoline,96695815.21302466
2015,Electric Dreams,Bus,Electricity,15091301.560460145
2015,Electric Dreams,Bus,"Biodiesel (FT, synthetic)",3053199.095420181
2015,Electric Dreams,Bus,Bioethanol(85)-petrol(15) blend,65363.92092559851
2015,Electric Dreams,Bus,Compressed Natural Gas,40216307.388618596
2015,Electric Dreams,Bus,Liquified Petroleum Gas,39718646.556139
2015,Electric Dreams,Truck,Diesel,10728624182.985973
2015,Electric Dreams,Truck,Electricity,349582.10028168664
2015,Electric Dreams,Truck,Gasoline,2467476147.8454456
2015,Electric Dreams,Truck,Compressed Natural Gas,16620303.038507696
2015,Electric Dreams,Train,Electricity,9194549.813400961
2015,Electric Dreams,Train,Diesel,12541388.784484295
2015,Electric Dreams,Ship,Diesel,1641873.866901733
2015,Electric Dreams,Aeroplane,Aviation fuel (Jet A-1),44434861.85482472
2030,Electric Dreams,Motorcycle,Gasoline,5117280054.837465
2030,Electric Dreams,Motorcycle,Electricity,45378375284.37368
2030,Electric Dreams,Motorcycle,Gaseous Hydrogen,2.9738138201951267
2030,Electric Dreams,Car,Gasoline,21310362368.735363
2030,Electric Dreams,Car,Diesel,23056767473.406403
2030,Electric Dreams,Car,Electricity,5158059605.615719
2030,Electric Dreams,Bus,Diesel,3463979248.5590296
2030,Electric Dreams,Bus,Gasoline,102906066.7497106
2030,Electric Dreams,Bus,Electricity,1849659280.8824055
2030,Electric Dreams,Bus,"Biodiesel (FT, synthetic)",2081466.429089795
2030,Electric Dreams,Bus,Bioethanol(85)-petrol(15) blend,953332.4280884829
2030,Electric Dreams,Bus,Compressed Natural Gas,4196393.01253483
2030,Electric Dreams,Bus,Liquified Petroleum Gas,4040414.660651196
2030,Electric Dreams,Bus,Gaseous Hydrogen,2.013475275397525
2030,Electric Dreams,Truck,Diesel,26213925329.14337
2030,Electric Dreams,Truck,Electricity,742542224.3333994
2030,Electric Dreams,Truck,Gasoline,4825553456.398123
2030,Electric Dreams,Truck,Compressed Natural Gas,63612.18697747978
2030,Electric Dreams,Train,Electricity,38575513.358409785
2030,Electric Dreams,Train,Diesel,6978670.554190108
2030,Electric Dreams,Ship,Diesel,1821341.8297818867
2030,Electric Dreams,Aeroplane,Aviation fuel (Jet A-1),62502961.13807968
2030,Electric Dreams,Aeroplane,Electricity,1099367.9807143004
2030,Electric Dreams,Aeroplane,Liquefied Hydrogen,1190.76315252542
2040,Electric Dreams,Motorcycle,Gasoline,108719838.7872377
2040,Electric Dreams,Motorcycle,Electricity,73126428348.01231
2040,Electric Dreams,Car,Gasoline,13053460744.310795
2040,Electric Dreams,Car,Diesel,13804337563.96126
2040,Electric Dreams,Car,Electricity,42542424920.592926
2040,Electric Dreams,Bus,Gasoline,22180994.90678328
2040,Electric Dreams,Bus,Diesel,1574229107.8204212
2040,Electric Dreams,Bus,Electricity,4237928689.1039753
2040,Electric Dreams,Bus,"Biodiesel (FT, synthetic)",750420.6861976836
2040,Electric Dreams,Bus,Bioethanol(85)-petrol(15) blend,368010.33566286054
2040,Electric Dreams,Bus,Compressed Natural Gas,27.349575493218502
2040,Electric Dreams,Bus,Liquified Petroleum Gas,5.1072999163182
2040,Electric Dreams,Bus,Gaseous Hydrogen,2.435860776972554
2040,Electric Dreams,Truck,Diesel,28707761485.56562
2040,Electric Dreams,Truck,Electricity,25205191905.39784
2040,Electric Dreams,Truck,Gasoline,2115232580.401851
2040,Electric Dreams,Train,Electricity,144882096.8721282
2040,Electric Dreams,Train,Diesel,5689466.652856525
2040,Electric Dreams,Ship,Diesel,1870990.8828213862
2040,Electric Dreams,Aeroplane,Aviation fuel (Jet A-1),83135778.35710359
2040,Electric Dreams,Aeroplane,Electricity,37708684.00169999
2040,Electric Dreams,Aeroplane,Liquefied Hydrogen,8650.429869305759
2050,Electric Dreams,Motorcycle,Electricity,98036599824.07802
2050,Electric Dreams,Motorcycle,Gasoline,13210956.938564777
2050,Electric Dreams,Motorcycle,Gaseous Hydrogen,0.111765249832807
2050,Electric Dreams,Car,Gasoline,11951890181.593998
2050,Electric Dreams,Car,Diesel,9334255033.347494
2050,Electric Dreams,Car,Electricity,69251789017.98904
2050,Electric Dreams,Bus,Gasoline,1724462.370447095
2050,Electric Dreams,Bus,Diesel,578495107.2842343
2050,Electric Dreams,Bus,Electricity,5447259067.996922
2050,Electric Dreams,Bus,Bioethanol(85)-petrol(15) blend,33400.102540839805
2050,Electric Dreams,Bus,Gaseous Hydrogen,2.055211556495351
2050,Electric Dreams,Bus,"Biodiesel (FT, synthetic)",235387.8649046237
2050,Electric Dreams,Truck,Diesel,20867347142.028717
2050,Electric Dreams,Truck,Electricity,64773625599.08745
2050,Electric Dreams,Truck,Gasoline,220641329.88797176
2050,Electric Dreams,Train,Electricity,294462206.169555
2050,Electric Dreams,Train,Diesel,1285310.829644004
2050,Electric Dreams,Ship,Diesel,1884872.210212049
2050,Electric Dreams,Aeroplane,Aviation fuel (Jet A-1),76751878.5731625
2050,Electric Dreams,Aeroplane,Electricity,120268373.56097521
2050,Electric Dreams,Aeroplane,Liquefied Hydrogen,42769.94782514969
2015,"Kujinao (""Know yourself"")",Motorcycle,Gasoline,16335337214.171877
2015,"Kujinao (""Know yourself"")",Motorcycle,Electricity,1726889122.2774982
2015,"Kujinao (""Know yourself"")",Motorcycle,Gaseous Hydrogen,1.17716525416256
2015,"Kujinao (""Know yourself"")",Car,Gasoline,12020128900.255396
2015,"Kujinao (""Know yourself"")",Car,Diesel,9813728757.092855
