Year,Scenario,MSMode,Value
2015,"Kujinao (""Know yourself"")",other public + underground,0.014219056
2030,"Kujinao (""Know yourself"")",walk,241.4659433
2030,"Kujinao (""Know yourself"")",bicycle,38.22687645
2030,"Kujinao (""Know yourself"")",car/van driver,87.91140771
2030,"Kujinao (""Know yourself"")",car/van passenger,42.96186125
2030,"Kujinao (""Know yourself"")",motorcycle + e-bike,127.3353562
2030,"Kujinao (""Know yourself"")",local bus,440.6404595
2030,"Kujinao (""Know yourself"")",coach,87.65033291
2030,"Kujinao (""Know yourself"")",rail (surface),10.87440776
2030,"Kujinao (""Know yourself"")",other private (+car clubs),3.216282887
2030,"Kujinao (""Know yourself"")",taxi + Uber,9.153499888
2030,"Kujinao (""Know yourself"")",air,6.726230285
2030,"Kujinao (""Know yourself"")",other public + underground,0.014219056
2040,"Kujinao (""Know yourself"")",walk,210.7143617
2040,"Kujinao (""Know yourself"")",bicycle,40.76035572
2040,"Kujinao (""Know yourself"")",car/van driver,89.30310655
2040,"Kujinao (""Know yourself"")",car/van passenger,44.71311116
2040,"Kujinao (""Know yourself"")",motorcycle + e-bike,136.0187945
2040,"Kujinao (""Know yourself"")",local bus,427.4872823
2040,"Kujinao (""Know yourself"")",coach,88.28511761
2040,"Kujinao (""Know yourself"")",rail (surface),15.54939084
2040,"Kujinao (""Know yourself"")",other private (+car clubs),3.414910583
2040,"Kujinao (""Know yourself"")",taxi + Uber,8.687861416
2040,"Kujinao (""Know yourself"")",air,6.489134452
2040,"Kujinao (""Know yourself"")",other public + underground,24.75344383
2050,"Kujinao (""Know yourself"")",walk,179.9627786
2050,"Kujinao (""Know yourself"")",bicycle,43.29383314
2050,"Kujinao (""Know yourself"")",car/van driver,90.69480157
2050,"Kujinao (""Know yourself"")",car/van passenger,46.46436191
2050,"Kujinao (""Know yourself"")",motorcycle + e-bike,144.7022381
2050,"Kujinao (""Know yourself"")",local bus,414.3341136
2050,"Kujinao (""Know yourself"")",coach,88.91990171
2050,"Kujinao (""Know yourself"")",rail (surface),20.22437435
2050,"Kujinao (""Know yourself"")",other private (+car clubs),3.613538263
2050,"Kujinao (""Know yourself"")",taxi + Uber,8.222221974
2050,"Kujinao (""Know yourself"")",air,6.252038142
2050,"Kujinao (""Know yourself"")",other public + underground,49.49266827
2015,Streetfighting,walk,312.819231
2015,Streetfighting,bicycle,28.43811143
2015,Streetfighting,car/van driver,91.52735123
2015,Streetfighting,car/van passenger,42.24339272
2015,Streetfighting,motorcycle + e-bike,107.2401185
2015,Streetfighting,local bus,411.8691674
2015,Streetfighting,coach,86.38076366
2015,Streetfighting,rail (surface),1.606753304
2015,Streetfighting,other private (+car clubs),2.816226227
2015,Streetfighting,taxi + Uber,4.224339208
2015,Streetfighting,air,6.997197291
2015,Streetfighting,other public + underground,0.014219056
2030,Streetfighting,walk,312.819231
2030,Streetfighting,bicycle,28.43811143
2030,Streetfighting,car/van driver,91.52735123
2030,Streetfighting,car/van passenger,42.24339272
2030,Streetfighting,motorcycle + e-bike,107.2401185
2030,Streetfighting,local bus,411.8691674
2030,Streetfighting,coach,86.38076366
2030,Streetfighting,rail (surface),1.606753304
2030,Streetfighting,other private (+car clubs),2.816226227
2030,Streetfighting,taxi + Uber,4.224339208
2030,Streetfighting,air,6.997197291
2030,Streetfighting,other public + underground,0.014219056
2040,Streetfighting,walk,312.819231
2040,Streetfighting,bicycle,28.43811143
2040,Streetfighting,car/van driver,91.52735123
2040,Streetfighting,car/van passenger,42.24339272
2040,Streetfighting,motorcycle + e-bike,107.2401185
2040,Streetfighting,local bus,411.8691674
2040,Streetfighting,coach,86.38076366
2040,Streetfighting,rail (surface),1.606753304
2040,Streetfighting,other private (+car clubs),2.816226227
2040,Streetfighting,taxi + Uber,4.224339208
2040,Streetfighting,air,6.997197291
2040,Streetfighting,other public + underground,0.014219056
2050,Streetfighting,walk,312.819231
2050,Streetfighting,bicycle,28.43811143
2050,Streetfighting,car/van driver,91.52735123
2050,Streetfighting,car/van passenger,42.24339272
2050,Streetfighting,motorcycle + e-bike,107.2401185
2050,Streetfighting,local bus,411.8691674
2050,Streetfighting,coach,86.38076366
2050,Streetfighting,rail (surface),1.606753304
2050,Streetfighting,other private (+car clubs),2.816226227
2050,Streetfighting,taxi + Uber,4.224339208
2050,Streetfighting,air,6.997197291
2050,Streetfighting,other public + underground,0.014219056
