Year,Tech.VehType,Value
2015,Motorcycle,2.552160323168945
2015,Car,3.8210354590817412
2015,Bus,5.364003416593036
2015,Truck,4.371422888313082
2015,Train,0.1388609551975826
2015,Ship,1.9918334340313326
2015,Aeroplane,0.6632262126563233
2016,Motorcycle,2.7872189318603513
2016,Car,4.075964490976796
2016,Bus,5.150154204417448
2016,Truck,4.670738584247368
2016,Train,0.13849666756024856
2016,Ship,1.9539821423120234
2016,Aeroplane,0.6376722467239376
2017,Motorcycle,2.8662546711669923
2017,Car,4.143626716844613
2017,Bus,4.981456997006799
2017,Truck,4.7837308181324
2017,Train,0.13620094174890338
2017,Ship,1.9639108701134282
2017,Aeroplane,0.6475952695672309
2018,Motorcycle,2.9604383137597656
2018,Car,4.298518947095571
2018,Bus,4.922737935362089
2018,Truck,4.8737575810807625
2018,Train,0.13673603104397072
2018,Ship,1.9737966351038982
2018,Aeroplane,0.6569244818911888
2019,Motorcycle,3.0490077096093753
2019,Car,4.390232320740377
2019,Bus,5.01447220961692
2019,Truck,5.003236000104897
2019,Train,0.13744898870608532
2019,Ship,1.9839108084189074
2019,Aeroplane,0.6640512225387614
2020,Motorcycle,2.4229291433691404
2020,Car,3.465193179741679
2020,Bus,3.969275225609307
2020,Truck,4.950576910192095
2020,Train,0.13150222740206927
2020,Ship,2.0048925969297975
2020,Aeroplane,0.5742493123419706
2021,Motorcycle,2.535407544067383
2021,Car,4.094163058337136
2021,Bus,4.546998531299294
2021,Truck,5.191773454556057
2021,Train,0.1397552589036771
2021,Ship,2.010933946727597
2021,Aeroplane,0.6343776128643642
2022,Motorcycle,2.459337541081543
2022,Car,4.609225110694846
2022,Bus,4.978347019681644
2022,Truck,5.272561127645706
2022,Train,0.14741947102391714
2022,Ship,2.0717435470583587
2022,Aeroplane,0.6871851501334215
2023,Motorcycle,2.325171338964844
2023,Car,4.451859064897456
2023,Bus,4.986797288058097
2023,Truck,4.499026959544648
2023,Train,0.15485715191301078
2023,Ship,1.9047419027139278
2023,Aeroplane,0.5682893403791611
2024,Motorcycle,2.223893839074707
2024,Car,5.0866157157495975
2024,Bus,5.443821306976148
2024,Truck,5.080473668276108
2024,Train,0.16136344366227115
2024,Ship,2.1149301373882277
2024,Aeroplane,0.7867840420174746
2025,Motorcycle,2.049902441286621
2025,Car,4.738215759739203
2025,Bus,5.192439007641839
2025,Truck,5.463694729145027
2025,Train,0.17013058991616833
2025,Ship,1.9928750008889076
2025,Aeroplane,0.7440761869309935
2026,Motorcycle,1.885238410290527
2026,Car,4.726329984764317
2026,Bus,5.079411385994987
2026,Truck,5.64809382451451
2026,Train,0.17821254286738117
2026,Ship,2.0586666388411494
2026,Aeroplane,0.7409009998754491
2027,Motorcycle,1.7113760975793457
2027,Car,4.692810476453606
2027,Bus,4.9347164616652766
2027,Truck,5.756415280249455
2027,Train,0.18732042989385114
2027,Ship,2.0371600760324315
2027,Aeroplane,0.733271795735241
2028,Motorcycle,1.5352086042767334
2028,Car,4.628900776296585
2028,Bus,4.757129226172871
2028,Truck,5.841030478071682
2028,Train,0.19676997368851964
2028,Ship,2.0590754290502153
2028,Aeroplane,0.7410824923227362
2029,Motorcycle,1.3580868129815673
2029,Car,4.602216092847509
2029,Bus,4.537943525048143
2029,Truck,5.938970820884213
2029,Train,0.2068428761159643
2029,Ship,2.0599955787534086
2029,Aeroplane,0.7492311849719315
2030,Motorcycle,1.1832374989416503
2030,Car,4.554751079273416
2030,Bus,4.2605644661706705
2030,Truck,6.05552033212054
2030,Train,0.21730939275957692
2030,Ship,2.071188622810291
2030,Aeroplane,0.756769440237514
2031,Motorcycle,1.0145604373646546
2031,Car,4.5217773781115005
2031,Bus,3.928030269585582
2031,Truck,6.184294593596828
2031,Train,0.2373720890573709
2031,Ship,2.0773645115404675
2031,Aeroplane,0.7661139147921475
2032,Motorcycle,0.8572322065794373
2032,Car,4.500623749283703
2032,Bus,3.589691513116326
2032,Truck,6.317389608788667
2032,Train,0.25800442761487435
2032,Ship,2.085658493649139
2032,Aeroplane,0.7762134428673533
2033,Motorcycle,0.7143850257966614
2033,Car,4.43489951731312
2033,Bus,3.2684986867178156
2033,Truck,6.439230263006368
2033,Train,0.2794099066473656
2033,Ship,2.092624204850197
2033,Aeroplane,0.7873192774421851
2034,Motorcycle,0.5880133226811981
2034,Car,4.4245844528611284
2034,Bus,2.9813756474435316
2034,Truck,6.537038443174951
2034,Train,0.30158504660253294
2034,Ship,2.099760000959464
2034,Aeroplane,0.7988448668060923
2035,Motorcycle,0.47809607080556876
2035,Car,4.393340508479787
2035,Bus,2.7788012236880872
2035,Truck,6.639442970225252
2035,Train,0.3244874027311264
2035,Ship,2.1062957603613204
2035,Aeroplane,0.8028121886804102
2036,Motorcycle,0.38447677749641407
2036,Car,4.347559271206729
2036,Bus,2.6432509632886667
2036,Truck,6.735024413868301
2036,Train,0.3480981703639821
2036,Ship,2.112838260701537
2036,Aeroplane,0.8047036879545861
2037,Motorcycle,0.3059361992665148
2037,Car,4.280323464938161
2037,Bus,2.529428659589106
2037,Truck,6.826017600487666
2037,Train,0.3724431722340484
2037,Ship,2.118985355134837
2037,Aeroplane,0.8035617124915209
2038,Motorcycle,0.24105547694598456
2038,Car,4.120045249308635
2038,Bus,2.4290841985238187
2038,Truck,6.916510552552799
2038,Train,0.39752501778054367
2038,Ship,2.1249299855669395
2038,Aeroplane,0.8003544412233976
2039,Motorcycle,0.18863289078306555
2039,Car,3.993047638272889
2039,Bus,2.3381488548445786
2039,Truck,6.9749411323316375
2039,Train,0.42324592610373746
2039,Ship,2.13046866257869
2039,Aeroplane,0.7956265162437745
2040,Motorcycle,0.14689354912877994
2040,Car,3.8484028335816416
2040,Bus,2.2378105975043905
2040,Truck,7.034016896806191
2040,Train,0.4498137490528395
