Year,Scenario,Tech.VehType,Tech.Fuel,Value
2050,"Omoka (""Growth"")",Truck,Electricity,159174.2797482802
2050,"Omoka (""Growth"")",Truck,Gasoline,4675.724081819373
2050,"Omoka (""Growth"")",Truck,Gaseous Hydrogen,5713.946051963434
2050,"Omoka (""Growth"")",Truck,Liquefied Hydrogen,3701.103489346957
2050,"Omoka (""Growth"")",Train,Electricity,7053.845616903107
2050,"Omoka (""Growth"")",Train,Diesel,13.679178291653447
2050,"Omoka (""Growth"")",Ship,Diesel,50.0999976936107
2050,"Omoka (""Growth"")",Aeroplane,Aviation fuel (Jet A-1),76.28593421222305
2050,"Omoka (""Growth"")",Aeroplane,Electricity,151.5848200293549
2050,"Omoka (""Growth"")",Aeroplane,Liquefied Hydrogen,0.02078607153396208
2050,"Omoka (""Growth"")",Bus,Gasoline,7.32689298118506
2050,"Omoka (""Growth"")",Bus,Bioethanol(85)-petrol(15) blend,0.053932781705896125
2015,Electric Dreams,Motorcycle,Gasoline,982833.466064454
2015,Electric Dreams,Motorcycle,Electricity,56125.5178222656
2015,Electric Dreams,Car,Gasoline,334697.95777453354
2015,Electric Dreams,Car,Diesel,212463.0729542018
2015,Electric Dreams,Car,Electricity,0.435474220259493
2015,Electric Dreams,Bus,Diesel,106561.0985015948
2015,Electric Dreams,Bus,Gasoline,13832.117927601535
2015,Electric Dreams,Bus,Electricity,293.0819821953769
2015,Electric Dreams,Bus,Bioethanol(85)-petrol(15) blend,9.300879334812636
2015,Electric Dreams,Bus,Compressed Natural Gas,873.7092558145528
2015,Electric Dreams,Bus,Liquified Petroleum Gas,864.051228165627
2015,Electric Dreams,Bus,"Biodiesel (FT, synthetic)",61.260915197432
2015,Electric Dreams,Truck,Diesel,50642.4821689946
2015,Electric Dreams,Truck,Electricity,1.257774559446262
2015,Electric Dreams,Truck,Gasoline,10796.519773439028
2015,Electric Dreams,Truck,Compressed Natural Gas,76.86142087591449
2015,Electric Dreams,Train,Electricity,1046.3117588985479
2015,Electric Dreams,Train,Diesel,329.37642331748066
2015,Electric Dreams,Ship,Diesel,50.10000109885426
2015,Electric Dreams,Aeroplane,Aviation fuel (Jet A-1),129.18193297743278
2030,Electric Dreams,Motorcycle,Gasoline,312306.2545977233
2030,Electric Dreams,Motorcycle,Electricity,2769430.350416243
2030,Electric Dreams,Motorcycle,Gaseous Hydrogen,0.000181491077669627
2030,Electric Dreams,Car,Gasoline,390726.38519910397
2030,Electric Dreams,Car,Diesel,388749.3271125058
2030,Electric Dreams,Car,Electricity,76310.73567568319
2030,Electric Dreams,Bus,Diesel,99386.16020517665
2030,Electric Dreams,Bus,Gasoline,4025.9424418390727
2030,Electric Dreams,Bus,Electricity,54703.73017741782
2030,Electric Dreams,Bus,Bioethanol(85)-petrol(15) blend,37.29506757295347
2030,Electric Dreams,Bus,Compressed Natural Gas,111.19718321648794
2030,Electric Dreams,Bus,Liquified Petroleum Gas,106.596354807293
2030,Electric Dreams,Bus,"Biodiesel (FT, synthetic)",59.17802115716033
2030,Electric Dreams,Truck,Diesel,97797.38185821856
2030,Electric Dreams,Truck,Electricity,2797.1627732561096
2030,Electric Dreams,Truck,Gasoline,20233.381385271092
2030,Electric Dreams,Truck,Compressed Natural Gas,0.0787475696566268
2030,Electric Dreams,Train,Electricity,4496.143991553332
2030,Electric Dreams,Train,Diesel,208.61136425106812
2030,Electric Dreams,Ship,Diesel,50.10000091096027
2030,Electric Dreams,Aeroplane,Aviation fuel (Jet A-1),192.84000125389426
2030,Electric Dreams,Aeroplane,Electricity,4.631501110969113
2030,Electric Dreams,Aeroplane,Liquefied Hydrogen,0.000794557054177858
2040,Electric Dreams,Motorcycle,Gasoline,6475.673835120777
2040,Electric Dreams,Motorcycle,Electricity,4355625.481033914
2040,Electric Dreams,Car,Gasoline,237794.79677248164
2040,Electric Dreams,Car,Diesel,230829.57166508955
2040,Electric Dreams,Car,Electricity,678636.1962192366
2040,Electric Dreams,Bus,Gasoline,814.6223131639553
2040,Electric Dreams,Bus,Diesel,43991.08023383526
2040,Electric Dreams,Bus,Electricity,123490.66817679915
